Altium Designer Pick and Place Locations
D:\altium\ESP32\ESP32_USB_C\Project Outputs for ESP32_USB_C\Pick Place\Pick Place for ESP32_USB_C(Prototype).csv

========================================================================================================================
File Design Information:

Date:       17-07-26
Time:       09:49
Revision:   Not in VersionControl
Variant:    Prototype
Units used: mil

﻿"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"D2","red","TopLayer","LEDC2012X90N","1811.000","802.000","90","CML CMD17-21VRD/TR8 LED SMT 0805 2.0V 6mcd 140deg Red 3K Part of the VCC Family of Products"
"R26","27R","TopLayer","RESC1005X40N","1986.000","852.000","270","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 27Ω 0402 Chip Resistor - Surface Mount ROHS"
"R25","27R","TopLayer","RESC1005X40N","2041.000","852.000","270","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 27Ω 0402 Chip Resistor - Surface Mount ROHS"
"USB1","FTS-103-01-F-S","TopLayer","SAMTEC-FTS-103-01-X-S","331.000","517.000","270","Pin Header, Board-to-Board, Wire-to-Board, 3.4 A, 1.27 mm, 1 Rows, 3 Contacts, Through Hole"
"3.3V","FTS-103-01-F-DV-TR","TopLayer","HDRV2W40P0X127_1X2_254X214X400P","1414.500","496.000","0","Pin Header, Board-to-Board, Wire-to-Board, 3.4 A, 1.27 mm, 2 Rows, 6 Contacts, Surface Mount"
"J1","22-28-4245","TopLayer","7731111824LF","1511.000","955.000","0","Conn Unshrouded Header HDR 24 POS 2.54mm Solder ST Thru-Hole KK® Bag"
"U2","FT231XQ-R","TopLayer","FP-QFN-20-IPC_B","756.413","792.630","270",""
"U1","ESP32-S3-MINI-1U-N8","TopLayer","XCVR_ESP32-S3-MINI-1U-N8","2390.409","512.000","270","WiFi-Module 802.11 2, 4GHz 150Mb/s"
"T2","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1141.000","787.000","0","TRANS NPN 25V 1.5A SOT23-3 / Bipolar (BJT) Transistor NPN 25 V 1.5 A 100MHz 300 mW Surface Mount SOT-23-3"
"T1","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1141.000","642.000","0","TRANS NPN 25V 1.5A SOT23-3 / Bipolar (BJT) Transistor NPN 25 V 1.5 A 100MHz 300 mW Surface Mount SOT-23-3"
"USER ","PTS645SM43SMTR92LFS","TopLayer","PTS645SM43SMTR92LFS_MFG","1416.000","762.000","180","Switch Tactile N.O SPST Round Button Gull Wing 0.05A 12VDC 100000Cycle 1.57N SMD T/R"
"RESET","PTS645SM43SMTR92LFS","TopLayer","PTS645SM43SMTR92LFS_MFG","1416.000","262.000","180","Switch Tactile N.O SPST Round Button Gull Wing 0.05A 12VDC 100000Cycle 1.57N SMD T/R"
"R22","0R","TopLayer","RESC1005X40N","1881.000","472.000","0","GENERAL PURPOSE CHIP RESISTOR Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R21","0R","TopLayer","RESC1005X40N","1871.000","542.000","0","GENERAL PURPOSE CHIP RESISTOR Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R20","0R","TopLayer","RESC1005X40N","2146.000","167.000","180","GENERAL PURPOSE CHIP RESISTOR Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R19","0R","TopLayer","RESC1005X40N","2046.000","152.000","180","GENERAL PURPOSE CHIP RESISTOR Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
